title,link
Erinnerung – DAX Equity Index Upgrade – Einführung neuer Reports für lizensierte Third-Party Data gültig ab 21. Februar 2022,https://www.dax-indices.com/documents/dax-indices/Documents/News/2022/February/Technical_Information_DAX_Index_DE_20220217.pdf
Methodologieänderung – Änderung in Guide to the DAXglobal Equity Indices,https://www.dax-indices.com/documents/dax-indices/Documents/News/2022/February/Guide%20to%20the%20DAXglobal%20Equity%20Indices_l_3_2_1_d.pdf
